Instrument,Revenue,Gross Profit,Operating Income,"Capital Expenditures, Cumulative",Selling/General/Administrative Expense,Net Income Incl Extra Before Distributions,Total Assets
C.N,,,,-2465000000.0,,4547000000.0,2380904000000.0
C.N,,,,-3667000000.0,,3479000000.0,2381064000000.0
C.N,,,,-5632000000.0,,2513000000.0,2416676000000.0
C.N,,,,-1634000000.0,,4606000000.0,2455113000000.0
C.N,,,,-3125000000.0,,2915000000.0,2423675000000.0
C.N,,,,-4818000000.0,,3546000000.0,2368477000000.0
C.N,,,,-6583000000.0,,-1839000000.0,2411834000000.0
C.N,,,,-1607000000.0,,3371000000.0,2432510000000.0
C.N,,,,-3251000000.0,,3217000000.0,2405686000000.0
C.N,,,,-4812000000.0,,3238000000.0,2430663000000.0
C.N,,,,-6500000000.0,,2856000000.0,2352945000000.0
C.N,,,,-1517000000.0,,4064000000.0,2571514000000.0
C.N,,,,-3272000000.0,,4019000000.0,2622772000000.0
C.N,,,,-4889000000.0,,3752000000.0,2642475000000.0
C.N,,,,-6520000000.0,,2471000000.0,2657202000000.0
WFC.N,,,,,,6064000000.0,1895882999999.99
WFC.N,,,,,,5860000000.0,1887792000000.0
WFC.N,,,,,,6206000000.0,1923387999999.99
WFC.N,,,,,,4610000000.0,1943949999999.99
WFC.N,,,,,,2873000000.0,1927554999999.99
WFC.N,,,,,,916000000.0,1981348999999.99
WFC.N,,,,,,-3846000000.0,1968766000000.0
WFC.N,,,,,,3216000000.0,1922220000000.0
WFC.N,,,,,,3091000000.0,1952911000000.0
WFC.N,,,,,,4636000000.0,1959543000000.0
WFC.N,,,,,,6040000000.0,1945996000000.0
WFC.N,,,,,,5122000000.0,1954901000000.0
WFC.N,,,,,,6311000000.0,1948068000000.0
WFC.N,,,,,,3788000000.0,1939709000000.0
WFC.N,,,,,,3142000000.0,1881142000000.0
WFC.N,,,,,,3592000000.0,1877745000000.0
WFC.N,,,,,,3155000000.0,1881020000000.0
WFC.N,,,,,,4991000000.0,1886400000000.0
WFC.N,,,,,,4938000000.0,1876320000000.0
WFC.N,,,,,,5767000000.0,1909261000000.0
WFC.N,,,,,,3446000000.0,1932468000000.0
WFC.N,,,,,,4619000000.0,1959153000000.0
WFC.N,,,,,,4910000000.0,1940073000000.0
WFC.N,,,,,,5114000000.0,1922125000000.0
WFC.N,,,,,,5079000000.0,1929845000000.0
WFC.N,,,,,,4894000000.0,1950311000000.0
WFC.N,,,,,,5494000000.0,1981269000000.0
WFC.N,,,,,,5589000000.0,2062926000000.0
WFC.N,,,,,,5361000000.0,2148631000000.0
GS.N,13213000000.0,7906000000.0,2708000000.0,-7982000000.0,1203000000.0,2538000000.0,931796000000.001
GS.N,13406000000.0,8265000000.0,2719000000.0,-2128000000.0,993000000.0,2251000000.0,925349000000.001
GS.N,14351000000.0,8839000000.0,3127000000.0,-4168000000.0,1012000000.0,2421000000.0,944903000000.0
GS.N,13014000000.0,7710000000.0,2416000000.0,-6397000000.0,1054000000.0,1877000000.0,1007320000000.0
GS.N,14141000000.0,9470000000.0,2321000000.0,-8443000000.0,1192000000.0,1917000000.0,992968000000.0
GS.N,12180000000.0,7768000000.0,1348000000.0,-2843000000.0,1059000000.0,1213000000.0,1089756000000.0
GS.N,15385000000.0,12350000000.0,1291000000.0,-3908000000.0,978000000.0,373000000.0,1141523000000.0
GS.N,12629000000.0,9870000000.0,4299000000.0,-4906000000.0,943000000.0,3367000000.0,1132059000000.0
GS.N,13304000000.0,10431000000.0,5541000000.0,-6309000000.0,1034000000.0,4506000000.0,1163028000000.0
GS.N,19276000000.0,16448000000.0,8337000000.0,-1312000000.0,1062000000.0,6836000000.0,1301548000000.0
GS.N,16698000000.0,14263000000.0,6840000000.0,-2665000000.0,1071000000.0,5486000000.0,1387922000000.0
GS.N,15161000000.0,12469000000.0,6842000000.0,-3548000000.0,1234000000.0,5378000000.0,1443230000000.0
GS.N,13854000000.0,11449000000.0,5025000000.0,-4667000000.0,1388000000.0,3935000000.0,1463988000000.0
GS.N,14318000000.0,11689000000.0,4656000000.0,-953000000.0,1274000000.0,3939000000.0,1589441000000.0
GS.N,14981000000.0,10547000000.0,3544000000.0,-2004000000.0,1428000000.0,2927000000.0,1601224000000.0
GS.N,18482000000.0,10658000000.0,3756000000.0,-2994000000.0,1378000000.0,3069000000.0,1555994000000.0
GS.N,20930000000.0,9159000000.0,1530000000.0,-3748000000.0,1453000000.0,1326000000.0,1441799000000.0
GS.N,25381000000.0,10819000000.0,3993000000.0,-597000000.0,1286000000.0,3234000000.0,1538349000000.0
GS.N,26047000000.0,9510000000.0,1736000000.0,-1263000000.0,1273000000.0,1216000000.0,1571386000000.0
GS.N,28527000000.0,10365000000.0,2756000000.0,-1770000000.0,1248000000.0,2058000000.0,1577153000000.0
GS.N,28463000000.0,9862000000.0,2254000000.0,-2316000000.0,1417000000.0,2008000000.0,1641594000000.0
GS.N,32160000000.0,12716000000.0,5237000000.0,-497000000.0,1254000000.0,4132000000.0,1698440000000.0
GS.N,30929000000.0,11077000000.0,3916000000.0,-1039000000.0,1290000000.0,3043000000.0,1653313000000.0
GS.N,31524000000.0,10998000000.0,3987000000.0,-1505000000.0,1299000000.0,2990000000.0,1728080000000.0
GS.N,32240000000.0,11997000000.0,5257000000.0,-2091000000.0,1419000000.0,4111000000.0,1675972000000.0
GS.N,31550000000.0,13212000000.0,5647000000.0,-499000000.0,1319000000.0,4738000000.0,1766181000000.0
GS.N,31268000000.0,12628000000.0,4958000000.0,-975000000.0,1371000000.0,3723000000.0,1785009000000.0
GS.N,32154000000.0,13216000000.0,5392000000.0,-1533000000.0,1390000000.0,4098000000.0,1807982000000.0
GS.N,30125000000.0,11230000000.0,5855000000.0,-2064000000.0,1528000000.0,4617000000.0,1809320000000.0
AXAF.PA,,,,,,,
ALVG.DE,,,,,,,
ALVG.DE,,,2944000000.0,,1110000000.0,1969000000.0,950497000000.001
ALVG.DE,,,,,,,
ALVG.DE,,,3003000000.0,,1072000000.0,1948000000.0,1013478000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,2078000000.0,,1102000000.0,1399000000.0,990385000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3050000000.0,,951000000.0,2063000000.0,1027609000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3700000000.0,,1163000000.0,2566000000.0,1068741000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3067000000.0,,1178000000.0,2110000000.0,1092570000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,2922000000.0,,,474000000.0,1038864000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3939000000.0,,,2865000000.0,959976000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3679000000.0,,,2032000000.0,956523000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3114000000.0,,,2022000000.0,942671000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3692000000.0,,,2476000000.0,1003731000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3561000000.0,,,2469000000.0,1026489000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,3920000000.0,,,2423000000.0,1026857000000.0
ALVG.DE,,,,,,,
ALVG.DE,,,4178000000.0,,,2847000000.0,1012773000000.0
ALVG.DE,,,,,,,
